PathCode,StudentNum,TrainingNum,PredictorsNum,Target,Accuracy,Error
0233,55,38,6,m2110,0.647058823529412,0.352941176470588
0948,55,38,10,m2003,0.647058823529412,0.352941176470588
0948,55,38,10,m2005,0.529411764705882,0.470588235294118
0948,55,38,10,m2007,0.647058823529412,0.352941176470588
0948,55,38,10,m2010,0.352941176470588,0.647058823529412
0948,55,38,10,m2012,0.588235294117647,0.411764705882353
0948,55,38,10,m2015,0.294117647058824,0.705882352941176
0948,55,38,10,m2016,0.588235294117647,0.411764705882353
0948,55,38,10,m2018,0.352941176470588,0.647058823529412
0948,55,38,10,m2022,0.411764705882353,0.588235294117647
0948,55,38,10,m2023,0.529411764705882,0.470588235294118
0948,55,38,10,m2025,0.529411764705882,0.470588235294118
1119,55,38,10,m2001,0.705882352941177,0.294117647058823
1119,55,38,10,m2005,0.529411764705882,0.470588235294118
1119,55,38,10,m2008,0.529411764705882,0.470588235294118
1119,55,38,10,m2026,0.411764705882353,0.588235294117647
1119,55,38,10,m2027,0.470588235294118,0.529411764705882
1119,55,38,10,m2028,0.411764705882353,0.588235294117647
1119,55,38,10,m2032,0.588235294117647,0.411764705882353
1119,55,38,10,m2053,0.588235294117647,0.411764705882353
1119,55,38,10,m2071,0.411764705882353,0.588235294117647
1119,55,38,10,m2080,0.588235294117647,0.411764705882353
1119,55,38,10,m2081,0.235294117647059,0.764705882352941
1119,55,38,10,m2083,0.352941176470588,0.647058823529412
0098,54,38,8,m2087,0.5625,0.4375
0098,54,38,8,m2088,0.8125,0.1875
0098,54,38,8,m2089,0.5,0.5
0098,54,38,8,m2090,0.6875,0.3125
0098,54,38,8,m2104,0.625,0.375
0098,54,38,8,m2105,0.466666666666667,0.533333333333333
0098,54,38,8,m2106,0.4375,0.5625
0098,54,38,8,m2107,0.5,0.5
0660,53,37,8,m2010,0.6875,0.3125
0660,53,37,8,m2045,0.625,0.375
0660,53,37,8,m2046,0.5625,0.4375
0660,53,37,8,m2047,0.8125,0.1875
0660,53,37,8,m2048,0.6875,0.3125
0660,53,37,8,m2051,0.375,0.625
0660,53,37,8,m2052,0.625,0.375
0660,53,37,8,m2053,0.625,0.375
1103,53,37,12,m2094,0.375,0.625
1103,53,37,12,m2109,0.375,0.625
1103,53,37,12,m2110,0.5,0.5
1103,53,37,12,m2111,0.5,0.5
1103,53,37,12,m2112,0.4375,0.5625
1103,53,37,12,m2113,0.5,0.5
1103,53,37,12,m2114,0.5,0.5
1103,53,37,12,m2118,0.6875,0.3125
0662,49,34,8,m2006,0.466666666666667,0.533333333333333
0662,49,34,8,m2014,0.571428571428571,0.428571428571429
0662,49,34,8,m2031,0.4,0.6
0662,49,34,8,m2034,0.571428571428571,0.428571428571429
0662,49,34,8,m2035,0.571428571428571,0.428571428571429
0662,49,34,8,m2038,0.571428571428571,0.428571428571429
1300,48,34,5,m2001,0.714285714285714,0.285714285714286
1300,48,34,5,m2002,0.5,0.5
1300,48,34,5,m2018,0.5,0.5
1300,48,34,5,m2033,0.5,0.5
1105,43,30,12,m2001,0.615384615384615,0.384615384615385
1105,43,30,12,m2005,0.461538461538462,0.538461538461538
1105,43,30,12,m2008,0.538461538461538,0.461538461538462
1105,43,30,12,m2019,0.615384615384615,0.384615384615385
1105,43,30,12,m2020,0.461538461538462,0.538461538461538
1105,43,30,12,m2021,0.461538461538462,0.538461538461538
1105,43,30,12,m2022,0.307692307692308,0.692307692307692
1105,43,30,12,m2066,0.538461538461538,0.461538461538462
1105,43,30,12,m2072,0.538461538461538,0.461538461538462
1105,43,30,12,m2076,0.692307692307692,0.307692307692308
1105,43,30,12,m2083,0.384615384615385,0.615384615384615
1105,43,30,12,m2086,0.461538461538462,0.538461538461538
1113,43,30,10,m2088,0.384615384615385,0.615384615384615
1113,43,30,10,m2089,0.538461538461538,0.461538461538462
1113,43,30,10,m2090,0.307692307692308,0.692307692307692
1113,43,30,10,m2093,0.692307692307692,0.307692307692308
1113,43,30,10,m2094,0.153846153846154,0.846153846153846
1113,43,30,10,m2095,0.307692307692308,0.692307692307692
1113,43,30,10,m2098,0.461538461538462,0.538461538461538
1113,43,30,10,m2099,0.615384615384615,0.384615384615385
1118,42,29,10,m2001,0.538461538461538,0.461538461538462
1118,42,29,10,m2005,0.692307692307692,0.307692307692308
1118,42,29,10,m2008,0.538461538461538,0.461538461538462
1118,42,29,10,m2026,0.384615384615385,0.615384615384615
1118,42,29,10,m2027,0.230769230769231,0.769230769230769
1118,42,29,10,m2028,0.692307692307692,0.307692307692308
1118,42,29,10,m2033,0.384615384615385,0.615384615384615
1118,42,29,10,m2071,0.538461538461538,0.461538461538462
1118,42,29,10,m2081,0.461538461538462,0.538461538461538
1118,42,29,10,m2082,0.461538461538462,0.538461538461538
1118,42,29,10,m2083,0.384615384615385,0.615384615384615
0670,40,28,8,m2001,0.5,0.5
0670,40,28,8,m2004,0.583333333333333,0.416666666666667
0670,40,28,8,m2007,0.5,0.5
0670,40,28,8,m2009,0.75,0.25
0670,40,28,8,m2011,0.75,0.25
0670,40,28,8,m2048,0.75,0.25
0670,40,28,8,m2049,0.333333333333333,0.666666666666667
0670,40,28,8,m2050,0.333333333333333,0.666666666666667
