PathCode,StudentNum,TrainingNum,PredictorsNum,Target,H,R2,MSE,RMSE,PredR2,PredMSE,PredRMSE
1112,68,34,10,m2094,7,NaN,327.723755239148,18.1031421371857,-1.12189683551512,497.643160091273,18.1031421371857
1112,68,34,10,m2096,3,NaN,235.237270472857,15.3374466738391,0.456009323884657,191.163763493693,15.3374466738391
1112,68,34,10,m2098,3,0.378218980724053,91.3975068507318,9.56020433101363,0.166247260481917,178.496039621578,9.56020433101363
1112,68,34,10,m2099,2,NaN,248.543377808325,15.7652585709314,-0.12955518076862,112.627947074439,15.7652585709314
1351,60,30,4,m2006,3,-0.478070828533767,74.9808908305974,8.65915069915043,-1.11266060521029,152.374732370254,8.65915069915043
1351,60,30,4,m2007,2,-0.955886198484742,107.506371503157,10.3685279332776,-2.43039172094369,236.993775433778,10.3685279332776
1351,60,30,4,m2008,1,-0.0519572169543563,31.2501423916574,5.59018267963198,0.00998716331530869,56.8126810878965,5.59018267963198
1351,60,30,4,m2009,2,0.12773517198462,24.6909097316887,4.96899484118153,0.187207100083866,36.3273271101405,4.96899484118153
1351,60,30,4,m2010,1,0.290377925924019,25.9130327383412,5.09048452883822,-0.381425039576728,50.8270614098586,5.09048452883822
1351,60,30,4,m2011,2,0.316619939752034,21.9175171545084,4.68161480202167,-0.134347251663279,35.2347862368495,4.68161480202167
1351,60,30,4,m2012,1,-0.0113147226830621,69.2514611602605,8.32174628069497,0.152818795460696,49.1495836473003,8.32174628069497
1351,60,30,4,m2013,3,0.175351481526826,52.2653068246982,7.22947486507133,-0.0305343679664902,53.1955422191145,7.22947486507133
0116,55,27,6,m2054,2,0.74124771056874,30.3141262430264,5.50582657218935,0.690108820808271,31.4437679536964,5.50582657218935
0116,55,27,6,m2056,4,0.628981206903444,26.090407968864,5.10787705107161,-0.156988541782129,124.714557278882,5.10787705107161
0116,55,27,6,m2057,4,0.511513001202369,85.6172301925527,9.25295791585332,0.35996914296835,124.684211940768,9.25295791585332
0116,55,27,6,m2064,5,0.567659324885086,162.646680590213,12.7533007723574,-0.0538337472532306,327.490688030494,12.7533007723574
0116,55,27,6,m2065,6,0.602084082757887,92.4584106856062,9.61552966224983,0.743730593628343,68.566697502706,9.61552966224983
0116,55,27,6,m2083,5,0.518101150735949,34.3516537734646,5.86102838872706,-0.149546597168769,160.809238167263,5.86102838872706
0233,55,27,6,m2089,3,0.196267111371125,181.857520594727,13.4854558912455,-0.32302533469575,262.407654618548,13.4854558912455
0233,55,27,6,m2091,5,0.327639782311954,69.0455838361626,8.30936723440254,-1.1449415616116,146.746659363961,8.30936723440254
0233,55,27,6,m2092,3,-0.262249413767694,72.1958183216156,8.49681224469598,-0.878903730020494,95.1674491350865,8.49681224469598
0233,55,27,6,m2094,1,0.204498139852914,41.9968238540751,6.48049564879687,-0.398531126069555,85.5184846363363,6.48049564879687
0233,55,27,6,m2104,6,0.0378434448977548,37.8949780659748,6.15588970547514,0.241561216230668,70.710638719311,6.15588970547514
0233,55,27,6,m2108,6,0.00847686845527063,21.3728319466308,4.62307602648181,0.19384705539176,150.061604872474,4.62307602648181
0233,55,27,6,m2109,4,0.414787208489136,121.923345369918,11.0418904798915,-0.451123160634347,433.619702097097,11.0418904798915
0233,55,27,6,m2110,4,-1.77847994904953,177.273881193679,13.3144238025413,-1.61692075143928,319.028899358854,13.3144238025413
0948,55,27,10,m2003,4,0.180280894064232,169.127504422221,13.0049030916121,0.0422137638315164,287.163535610819,13.0049030916121
0948,55,27,10,m2005,4,-0.00686483665038717,86.3693905282514,9.29351335761947,-0.0760408880713279,73.3271600334835,9.29351335761947
0948,55,27,10,m2007,4,0.690599162883719,54.7558842245814,7.39972190184073,0.351418195976103,120.34895440341,7.39972190184073
0948,55,27,10,m2010,1,0.161815195860664,52.3215880619542,7.23336630221049,0.48861968654093,28.2904790712236,7.23336630221049
0948,55,27,10,m2012,5,0.597846947806888,65.4864044250265,8.09236704710226,0.0100052067625821,150.273673320896,8.09236704710226
0948,55,27,10,m2015,1,0.168296546577605,55.0658420890059,7.42063623208994,0.0690533989513085,73.0519273999385,7.42063623208994
0948,55,27,10,m2016,2,0.143246888054508,55.1236597567783,7.42453094523676,0.498187043681987,49.9520938662858,7.42453094523676
0948,55,27,10,m2018,2,0.217617287113336,126.426177747667,11.2439396008546,-0.771081840897931,233.807316242,11.2439396008546
0948,55,27,10,m2022,3,-0.853879019236992,218.0609302353,14.7668862742049,-0.556639353175347,171.391917709479,14.7668862742049
0948,55,27,10,m2023,3,-0.217550503997001,95.4833502242915,9.77155822907951,-1.48145736761641,325.251228668892,9.77155822907951
0948,55,27,10,m2025,2,0.353428271736336,67.4368104071323,8.21199186599283,0.0902694858964642,110.439395698299,8.21199186599283
1119,55,27,10,m2001,10,0.440192328055782,92.4857563698459,9.61695151125584,0.473792924780431,76.0979186910958,9.61695151125584
1119,55,27,10,m2005,6,0.74702923211579,29.095455423895,5.39402033958855,-0.53440030615726,96.7468594422062,5.39402033958855
1119,55,27,10,m2008,3,0.302394560634815,162.378431528286,12.7427795840737,0.177857410417743,141.414214976242,12.7427795840737
1119,55,27,10,m2026,4,0.0183493006080127,262.971968565516,16.216410471048,-0.0877348331767205,171.862103641922,16.216410471048
1119,55,27,10,m2027,4,-0.160903196696171,334.391079362207,18.286363207653,-1.95990246105845,336.548079136265,18.286363207653
1119,55,27,10,m2028,9,0.314149093185027,106.136603842832,10.3022620740705,-1.09812755779279,65.1508536457871,10.3022620740705
1119,55,27,10,m2032,8,0.386553858224836,270.643349660213,16.4512415841545,-0.869511960729041,348.945377805003,16.4512415841545
1119,55,27,10,m2053,4,0.522776137658466,124.872922684632,11.1746553720745,-1.77066901516267,394.892237835815,11.1746553720745
1119,55,27,10,m2071,1,0.361108332639581,132.479314135625,11.5099658616186,-0.686246592919227,163.081634159489,11.5099658616186
1119,55,27,10,m2080,2,-0.314092313539632,270.825593101264,16.4567795482975,-0.487154458912462,219.656315685596,16.4567795482975
1119,55,27,10,m2081,4,0.104615312233419,219.800359648774,14.8256655718647,0.00462886432525489,85.3746010764899,14.8256655718647
1119,55,27,10,m2083,4,0.331152545967531,171.997471629151,13.1147806550148,-3.56195197704631,497.552686216262,13.1147806550148
0098,54,27,8,m2087,2,-0.0549695583195446,57.5703689561977,7.58751401686993,0.122766445668702,88.1859590652967,7.58751401686993
0098,54,27,8,m2088,3,0.770694443734124,12.581294430072,3.5470120425609,0.315070551502188,55.2117347625033,3.5470120425609
0098,54,27,8,m2089,4,-0.402337584835288,203.948745431285,14.2810624755753,-0.0421264351005057,231.250298432635,14.2810624755753
0098,54,27,8,m2090,2,0.572350772876903,102.297918823915,10.1142433638862,0.411111859931363,188.055446635747,10.1142433638862
0098,54,27,8,m2104,3,0.759016550473544,44.7217680652061,6.68743359333056,-12.3205494466736,1078.75637159546,6.68743359333056
0098,54,27,8,m2105,2,-1.75140778350215,1461.53724677495,38.230056850271,-2.54718279722631,884.273258206327,38.230056850271
0098,54,27,8,m2106,2,0.420787603865208,159.997691439297,12.6490193864701,-2.86246779962578,1342.20756036996,12.6490193864701
0098,54,27,8,m2107,8,0.552558989815467,144.418490990919,12.0174244741092,-0.980542297735629,928.379202063576,12.0174244741092
0660,53,26,8,m2010,3,0.757424636991618,45.9787964689201,6.78076665790234,0.440905944664413,129.980632020909,6.78076665790234
0660,53,26,8,m2045,8,0.50989800926487,64.0358851060361,8.00224250482551,0.270368699500592,186.919568674424,8.00224250482551
0660,53,26,8,m2046,4,-0.0251668741440394,136.924988017147,11.7014951188789,0.0528373583748988,234.478251613245,11.7014951188789
0660,53,26,8,m2047,3,0.54262523517205,48.3876790772196,6.95612529194376,0.396995543871633,60.1402725541776,6.95612529194376
0660,53,26,8,m2048,5,0.67975548734323,21.9964396622473,4.69003621118721,0.00558555697290664,135.970637358283,4.69003621118721
0660,53,26,8,m2051,2,0.255015129618074,57.6106939113692,7.59017087497832,-0.0173849196089375,127.518866857391,7.59017087497832
0660,53,26,8,m2052,3,-0.227614809697468,151.136453457207,12.2937566861072,-0.172945452723348,406.384363005068,12.2937566861072
0660,53,26,8,m2053,4,0.0340580777221821,64.2037018517558,8.012721251345,0.271947979172,56.606044619377,8.012721251345
1103,53,26,12,m2094,1,0.59777733488673,76.2914055041768,8.73449514878661,-0.582853546214139,498.642148209108,8.73449514878661
1103,53,26,12,m2109,1,-0.0612324541012064,149.158105268518,12.2130301427827,-0.119585399890621,536.56130289758,12.2130301427827
1103,53,26,12,m2110,7,0.974974914937262,1.3436545672147,1.15916114807852,0.021766399727182,81.6786843977792,1.15916114807852
1103,53,26,12,m2111,8,0.437600843118695,58.6700457728203,7.65963744395388,0.316359792252838,109.23021647454,7.65963744395388
1103,53,26,12,m2112,7,-2.46704838459543,288.585619089373,16.9878079542174,-1.56508581173858,712.923517933641,16.9878079542174
